Country,Country Code,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT),Health_Expenditure_Per_Capita,Education_Expenditure_Per_Capita,Capital_Expenditure_Per_Capita,Revenue_Per_Capita,Tax_Revenue_Per_Capita,Debt_to_GDP_Ratio,Tax_to_GDP_Ratio,Health_Spending_to_GDP,Education_Spending_to_GDP,Budget_Balance_to_GDP,Trade_Balance,Trade_Openness,Revenue_Growth_Rate,Tax_Revenue_Growth_Rate,Health_Expenditure_Growth_Rate,Population_Growth_Rate,Debt_Growth_Rate,Fiscal_Capacity_Index,Social_Spending_Ratio,Infrastructure_Investment_Ratio,Export_Intensity,Inflation_Volatility
Algeria,DZA,1977.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,6.0,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-6.21,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,12.21,-1.1443874769569405e-05,,,,,,78.8659881016156,700.7445511607255,0.14230185802750758,0.0003269678505591259,
Algeria,DZA,1978.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,6.3,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-7.32,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,13.620000000000001,-5.558453459505143e-05,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.00034331624308708223,0.0
Algeria,DZA,1979.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,9.5,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-7.82,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,17.32,9.155099815655524e-05,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.000517699096718616,0.0
Algeria,DZA,1980.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-9.61,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,23.31,0.00022288308479780417,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0007465765921100041,0.0
Algeria,DZA,1981.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,14.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-10.11,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,24.21,0.00021743362062181875,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0007683744488139459,0.0
Algeria,DZA,1982.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.5,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-9.92,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,23.42,0.00019509081750027847,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0007356776637580334,0.0
Algeria,DZA,1983.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.7,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-9.54,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,22.24,0.00017220306796113965,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0006920819503501499,0.0
Algeria,DZA,1984.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,12.8,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-9.24,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,22.04,0.0001940009246650814,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0006975314145261354,0.0
Algeria,DZA,1985.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,13.0,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-8.81,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,21.810000000000002,0.00022833254897378956,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.0007084303428781061,0.0
Algeria,DZA,1986.0,-427.4,2611.3,101.4325,6085.0,11701.0,2894.920833333333,8.1,5.621666666666667,7.016666666666667,5.4,2453.16,70163.0,22276.20333333333,8585.0,-8.53,5.2025,10.0,18560025.0,1835042.8,18970215.0,25122.16,2955.583333333333,2330.9500000000003,17.46,197008.575,0.00045255153934734005,0.0006168090345839518,0.0001376526307160989,0.00015580125651361006,0.0001228742004241913,1.2139337204196725,0.12702428521013243,0.4678364995083493,0.6376418032320554,-0.023291009888161737,16.63,-2.343269595673734e-05,0.0,0.0,0.0,0.0,0.0,78.8659881016156,700.7445511607255,0.14230185802750758,0.00044140659825482,0.0
